RESULTS (Output Conditions),,,,,,,,,,,,,,,
t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
0,0,8.509,113.3,113.8,1799.3,240.1,7.1,118.9,1.6,0.0,0.0,9.260,5.75,3.62,114.5
0,0,8.509,113.3,113.8,1799.4,240.0,7.1,118.9,1.6,0.0,0.0,9.261,5.75,3.62,114.5
0,0,8.509,113.4,113.9,1799.6,240.0,7.1,118.8,1.6,0.0,0.0,9.262,5.75,3.61,114.5
0,0,8.508,113.4,113.9,1799.7,239.9,7.1,118.8,1.6,0.0,0.0,9.264,5.75,3.61,114.6
0,0,8.508,113.5,114.0,1799.9,239.9,7.1,118.8,1.6,0.0,0.0,9.265,5.75,3.61,114.6
0,0,8.508,113.5,114.0,1800.0,239.8,7.1,118.8,1.6,0.0,0.0,9.267,5.75,3.61,114.7
0,0,8.508,113.6,114.1,1800.2,239.7,7.1,118.7,1.6,0.0,0.0,9.268,5.75,3.61,114.8
0,0,8.508,113.6,114.1,1800.5,239.6,7.1,118.7,1.6,0.0,0.0,9.270,5.74,3.61,114.8
0,0,8.507,113.7,114.2,1800.7,239.5,7.1,118.6,1.6,0.0,0.0,9.272,5.74,3.61,114.9
0,0,8.507,113.8,114.3,1801.0,239.4,7.2,118.6,1.6,0.0,0.0,9.275,5.74,3.61,115.0
0,0,8.507,113.9,114.4,1801.2,239.3,7.2,118.5,1.6,0.0,0.0,9.277,5.74,3.60,115.1
0,0,8.507,114.0,114.5,1801.5,239.2,7.2,118.5,1.6,0.0,0.0,9.279,5.73,3.60,115.2
0,0,8.506,114.1,114.6,1801.8,239.1,7.2,118.4,1.6,0.0,0.0,9.282,5.73,3.60,115.3
0,0,8.506,114.2,114.7,1802.1,239.0,7.2,118.4,1.6,0.0,0.0,9.284,5.73,3.60,115.3
0,0,8.506,114.3,114.8,1802.4,238.9,7.2,118.3,1.6,0.0,0.0,9.287,5.73,3.60,115.4
0,0,8.506,114.3,114.9,1802.7,238.7,7.2,118.3,1.6,0.0,0.0,9.290,5.72,3.60,115.5
0,0,8.505,114.4,114.9,1803.0,238.6,7.2,118.2,1.6,0.0,0.0,9.292,5.72,3.59,115.6
0,0,8.505,114.5,115.0,1803.2,238.5,7.2,118.2,1.6,0.0,0.0,9.295,5.72,3.59,115.7
0,0,8.505,114.6,115.1,1803.5,238.4,7.2,118.1,1.6,0.0,0.0,9.297,5.71,3.59,115.8
0,0,8.504,114.7,115.2,1803.8,238.3,7.2,118.0,1.6,0.0,0.0,9.300,5.71,3.59,115.9
0,0,8.504,114.8,115.3,1804.1,238.2,7.2,118.0,1.6,0.0,0.0,9.302,5.71,3.59,116.0
0,0,8.504,114.9,115.4,1804.3,238.1,7.2,117.9,1.6,0.0,0.0,9.304,5.71,3.59,116.1
0,0,8.504,115.0,115.5,1804.5,238.0,7.2,117.9,1.6,0.0,0.0,9.306,5.70,3.58,116.1
0,0,8.503,115.0,115.5,1804.8,237.9,7.2,117.9,1.6,0.0,0.0,9.308,5.70,3.58,116.2
0,0,8.503,115.1,115.6,1805.0,237.8,7.2,117.8,1.6,0.0,0.0,9.310,5.70,3.58,116.3
0,0,8.503,115.2,115.7,1805.2,237.7,7.2,117.8,1.6,0.0,0.0,9.312,5.70,3.58,116.4
0,0,8.503,115.2,115.7,1805.4,237.6,7.2,117.7,1.6,0.0,0.0,9.314,5.70,3.58,116.4
0,0,8.503,115.3,115.8,1805.6,237.5,7.2,117.7,1.6,0.0,0.0,9.316,5.69,3.58,116.5
0,0,8.502,115.4,115.9,1805.8,237.5,7.3,117.7,1.6,0.0,0.0,9.317,5.69,3.58,116.6
0,0,8.502,115.4,115.9,1806.0,237.4,7.3,117.6,1.6,0.0,0.0,9.319,5.69,3.58,116.6
0,0,8.502,115.5,116.0,1806.1,237.3,7.3,117.6,1.6,0.0,0.0,9.320,5.69,3.57,116.7
0,0,8.502,115.5,116.0,1806.3,237.3,7.3,117.6,1.6,0.0,0.0,9.322,5.69,3.57,116.7
0,0,8.502,115.6,116.1,1806.4,237.2,7.3,117.5,1.6,0.0,0.0,9.323,5.69,3.57,116.8
0,0,8.502,115.6,116.1,1806.6,237.2,7.3,117.5,1.6,0.0,0.0,9.324,5.68,3.57,116.8
0,0,8.502,115.6,116.2,1806.7,237.1,7.3,117.5,1.6,0.0,0.0,9.325,5.68,3.57,116.8
0,0,8.502,115.7,116.2,1806.8,237.1,7.3,117.5,1.6,0.0,0.0,9.326,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.8,237.1,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.9,237.0,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.9,237.0,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.9,237.0,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.9,237.0,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.9,237.0,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.501,115.7,116.2,1806.8,237.1,7.3,117.5,1.6,0.0,0.0,9.327,5.68,3.57,116.9
0,0,8.502,115.7,116.2,1806.8,237.1,7.3,117.5,1.6,0.0,0.0,9.326,5.68,3.57,116.9
0,0,8.502,115.7,116.2,1806.7,237.1,7.3,117.5,1.6,0.0,0.0,9.325,5.68,3.57,116.9
0,0,8.502,115.6,116.1,1806.6,237.1,7.3,117.5,1.6,0.0,0.0,9.325,5.68,3.57,116.8
0,0,8.502,115.6,116.1,1806.6,237.2,7.3,117.5,1.6,0.0,0.0,9.324,5.68,3.57,116.8
0,0,8.502,115.6,116.1,1806.5,237.2,7.3,117.5,1.6,0.0,0.0,9.324,5.69,3.57,116.8
0,0,8.502,115.6,116.1,1806.5,237.2,7.3,117.5,1.6,0.0,0.0,9.323,5.69,3.57,116.8
0,0,8.502,115.6,116.1,1806.4,237.2,7.3,117.5,1.6,0.0,0.0,9.323,5.69,3.57,116.8
0,0,8.502,115.6,116.1,1806.4,237.2,7.3,117.5,1.6,0.0,0.0,9.323,5.69,3.57,116.8
0,0,8.501842231,115.5669201,116.0769576,1806.448854,237.2095547,7.265706627,117.5429833,1.592367482,0,0,9.323104586,5.685712911,3.572978609,116.7672081
0,0,8.501794235,115.5828304,116.0929381,1806.497896,237.1897802,7.266706911,117.5336664,1.592191512,0,0,9.323541894,5.685238933,3.572680755,116.7832837
0,0,8.501717806,115.6081701,116.1183897,1806.575985,237.1582934,7.268300022,117.5188311,1.591911336,0,0,9.324238368,5.684484223,3.572206484,116.8088865
