RESULTS (Input Conditions),,,,,,,,,,,,,,,,,,,,
Salinity,t(oC) in,P (dbars) in,Total P (mmol/kgSW),Total Si (mmol/kgSW),TA in (mmol/kgSW),TCO2 in (mmol/kgSW),pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm)
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.6,276.5,1786.2,250.8,8.9,106.2,5.9,0.0,0.0,9.087,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.5,1786.1,250.8,8.9,106.2,5.9,0.0,0.0,9.086,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.9,8.9,106.3,5.9,0.0,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.9,8.9,106.3,5.9,0.0,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.5,276.4,1786.0,250.9,8.9,106.3,5.9,0.0,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.9,8.9,106.3,5.9,0.0,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.9,8.9,106.3,5.9,0.0,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.9,8.9,106.3,5.9,0.0,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.8,8.183,275.4,276.4,1786.0,250.9,8.9,106.3,5.9,0.0,0.0,9.085,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.0,250.9,8.9,106.3,5.9,0.0,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.9,8.9,106.3,5.9,0.0,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.4,1786.1,250.9,8.9,106.2,5.9,0.0,0.0,9.086,6.00,3.90,282.8
35,20,0,0.00,0.00,2400.0,2045.9,8.183,275.5,276.5,1786.2,250.8,8.9,106.2,5.9,0.0,0.0,9.087,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.5,1786.2,250.8,8.9,106.2,5.9,0.0,0.0,9.087,6.00,3.90,282.9
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.6,1786.3,250.8,8.9,106.2,5.9,0.0,0.0,9.087,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.0,8.182,275.7,276.6,1786.3,250.8,8.9,106.2,5.9,0.0,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.7,276.7,1786.4,250.7,8.9,106.2,5.9,0.0,0.0,9.089,6.00,3.90,283.1
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.7,1786.5,250.7,8.9,106.2,5.9,0.0,0.0,9.089,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.8,1786.6,250.7,8.9,106.2,5.9,0.0,0.0,9.090,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.3,8.182,276.0,276.9,1786.7,250.6,8.9,106.1,5.9,0.0,0.0,9.091,5.99,3.90,283.3
35,20,0,0.00,0.00,2400.0,2046.3,8.182,276.0,277.0,1786.8,250.6,8.9,106.1,5.9,0.0,0.0,9.092,5.99,3.90,283.4
35,20,0,0.00,0.00,2400.0,2046.4,8.182,276.1,277.0,1786.9,250.5,8.9,106.1,5.9,0.0,0.0,9.093,5.99,3.89,283.5
35,20,0,0.00,0.00,2400.0,2046.5,8.182,276.2,277.1,1787.0,250.5,9.0,106.1,5.9,0.0,0.0,9.094,5.99,3.89,283.5
35,20,0,0.00,0.00,2400.0,2046.5,8.182,276.3,277.2,1787.1,250.4,9.0,106.1,5.9,0.0,0.0,9.095,5.99,3.89,283.6
35,20,0,0.00,0.00,2400.0,2046.6,8.182,276.4,277.3,1787.2,250.4,9.0,106.1,5.9,0.0,0.0,9.096,5.99,3.89,283.7
35,20,0,0.00,0.00,2400.0,2046.7,8.181,276.5,277.4,1787.4,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.8
35,20,0,0.00,0.00,2400.0,2046.8,8.181,276.6,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.098,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.9,8.181,276.7,277.6,1787.7,250.2,9.0,106.0,5.9,0.0,0.0,9.099,5.98,3.89,284.1
35,20,0,0.00,0.00,2400.0,2047.0,8.181,276.8,277.8,1787.9,250.1,9.0,105.9,5.9,0.0,0.0,9.101,5.98,3.89,284.2
35,20,0,0.00,0.00,2400.0,2047.1,8.181,277.0,277.9,1788.1,250.1,9.0,105.9,5.9,0.0,0.0,9.102,5.98,3.89,284.4
35,20,0,0.00,0.00,2400.0,2047.2,8.181,277.2,278.1,1788.3,250.0,9.0,105.9,5.9,0.0,0.0,9.104,5.98,3.89,284.5
35,20,0,0.00,0.00,2400.0,2047.4,8.180,277.3,278.3,1788.5,249.9,9.0,105.8,5.9,0.0,0.0,9.106,5.98,3.88,284.7
35,20,0,0.00,0.00,2400.0,2047.5,8.180,277.5,278.5,1788.8,249.8,9.0,105.8,5.9,0.0,0.0,9.108,5.97,3.88,284.9
