RESULTS (Input Conditions),,,,,,,,,,,,,,,,,,,,
Salinity,t(oC) in,P (dbars) in,Total P (mmol/kgSW),Total Si (mmol/kgSW),TA in (mmol/kgSW),TCO2 in (mmol/kgSW),pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm)
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.8,1786.5,250.688346,8.938633,106.2,5.930696,0.000000,0.0,9.090,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.8,1786.6,250.665829,8.939989,106.2,5.929980,0.000000,0.0,9.090,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.8,1786.6,250.642239,8.941410,106.2,5.929230,0.000000,0.0,9.091,5.99,3.90,283.3
35,20,0,0.00,0.00,2400.0,2046.3,8.182,276.0,276.9,1786.7,250.618124,8.942863,106.1,5.928463,0.000000,0.0,9.091,5.99,3.90,283.3
35,20,0,0.00,0.00,2400.0,2046.3,8.182,276.0,276.9,1786.8,250.594014,8.944317,106.1,5.927696,0.000000,0.0,9.091,5.99,3.90,283.3
35,20,0,0.00,0.00,2400.0,2046.3,8.182,276.0,277.0,1786.8,250.569379,8.945802,106.1,5.926912,0.000000,0.0,9.092,5.99,3.89,283.4
35,20,0,0.00,0.00,2400.0,2046.4,8.182,276.1,277.0,1786.9,250.543658,8.947353,106.1,5.926094,0.000000,0.0,9.093,5.99,3.89,283.4
35,20,0,0.00,0.00,2400.0,2046.4,8.182,276.1,277.1,1786.9,250.5,8.9,106.1,5.9,0.0,0.0,9.093,5.99,3.89,283.5
35,20,0,0.00,0.00,2400.0,2046.4,8.182,276.2,277.1,1787.0,250.5,9.0,106.1,5.9,0.0,0.0,9.094,5.99,3.89,283.5
35,20,0,0.00,0.00,2400.0,2046.5,8.182,276.2,277.2,1787.1,250.5,9.0,106.1,5.9,0.0,0.0,9.094,5.99,3.89,283.6
35,20,0,0.00,0.00,2400.0,2046.5,8.182,276.3,277.2,1787.1,250.4,9.0,106.1,5.9,0.0,0.0,9.095,5.99,3.89,283.6
35,20,0,0.00,0.00,2400.0,2046.6,8.182,276.3,277.3,1787.2,250.4,9.0,106.1,5.9,0.0,0.0,9.095,5.99,3.89,283.7
35,20,0,0.00,0.00,2400.0,2046.6,8.182,276.4,277.3,1787.3,250.4,9.0,106.1,5.9,0.0,0.0,9.096,5.99,3.89,283.7
35,20,0,0.00,0.00,2400.0,2046.6,8.182,276.4,277.4,1787.3,250.4,9.0,106.0,5.9,0.0,0.0,9.096,5.99,3.89,283.8
35,20,0,0.00,0.00,2400.0,2046.7,8.182,276.5,277.4,1787.4,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.8
35,20,0,0.00,0.00,2400.0,2046.7,8.181,276.5,277.4,1787.4,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.7,8.181,276.5,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.7,8.181,276.6,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.098,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.8,8.181,276.6,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.098,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.8,8.181,276.6,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.098,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.8,8.181,276.6,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.098,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.8,8.181,276.6,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.098,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.7,8.181,276.5,277.5,1787.5,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.7,8.181,276.5,277.4,1787.4,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.9
35,20,0,0.00,0.00,2400.0,2046.7,8.182,276.5,277.4,1787.4,250.3,9.0,106.0,5.9,0.0,0.0,9.097,5.99,3.89,283.8
35,20,0,0.00,0.00,2400.0,2046.6,8.182,276.4,277.3,1787.3,250.4,9.0,106.0,5.9,0.0,0.0,9.096,5.99,3.89,283.8
35,20,0,0.00,0.00,2400.0,2046.6,8.182,276.3,277.3,1787.2,250.4,9.0,106.1,5.9,0.0,0.0,9.095,5.99,3.89,283.7
35,20,0,0.00,0.00,2400.0,2046.5,8.182,276.3,277.2,1787.1,250.4,9.0,106.1,5.9,0.0,0.0,9.095,5.99,3.89,283.6
35,20,0,0.00,0.00,2400.0,2046.5,8.182,276.2,277.1,1787.0,250.5,9.0,106.1,5.9,0.0,0.0,9.094,5.99,3.89,283.6
35,20,0,0.00,0.00,2400.0,2046.4,8.182,276.1,277.1,1786.9,250.5,8.9,106.1,5.9,0.0,0.0,9.093,5.99,3.89,283.5
35,20,0,0.00,0.00,2400.0,2046.4,8.182,276.1,277.0,1786.9,250.6,8.9,106.1,5.9,0.0,0.0,9.092,5.99,3.89,283.4
35,20,0,0.00,0.00,2400.0,2046.3,8.182,276.0,276.9,1786.8,250.6,8.9,106.1,5.9,0.0,0.0,9.092,5.99,3.90,283.4
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.9,1786.7,250.6,8.9,106.2,5.9,0.0,0.0,9.091,5.99,3.90,283.3
35,20,0,0.00,0.00,2400.0,2046.2,8.182,275.9,276.8,1786.6,250.7,8.9,106.2,5.9,0.0,0.0,9.090,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.7,1786.5,250.7,8.9,106.2,5.9,0.0,0.0,9.089,6.00,3.90,283.2
35,20,0,0.00,0.00,2400.0,2046.1,8.182,275.8,276.7,1786.4,250.7,8.9,106.2,5.9,0.0,0.0,9.089,6.00,3.90,283.1
35,20,0,0.00,0.00,2400.0,2046.0,8.182,275.7,276.6,1786.4,250.8,8.9,106.2,5.9,0.0,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.6,1786.3,250.8,8.9,106.2,5.9,0.0,0.0,9.088,6.00,3.90,283.0
35,20,0,0.00,0.00,2400.0,2046.0,8.183,275.6,276.5,1786.2,250.8,8.9,106.2,5.9,0.0,0.0,9.087,6.00,3.90,282.9
